date,open,high,low,close,adjusted_close,volume
2024-01-02,187.15,188.44,183.89,185.64,184.735,82488700
2024-01-03,184.22,185.88,183.43,184.25,183.3518,58414500
2024-01-04,182.15,183.09,180.88,181.91,181.0232,71983600
2024-01-05,181.99,182.76,180.17,181.18,180.2967,62303300
2024-01-08,182.09,185.6,181.5,185.56,184.6554,59144500
2024-01-09,183.92,185.15,182.73,185.14,184.2374,42841800
2024-01-10,184.35,186.4,183.92,186.19,185.2823,46792900
2024-01-11,186.54,187.05,183.62,185.59,184.6852,49128400
2024-01-12,186.06,186.74,185.19,185.92,185.0136,40444700
2024-01-16,182.16,184.26,180.93,183.63,182.7348,65603000
2024-01-17,181.27,182.93,180.3,182.68,181.7894,47317400
2024-01-18,186.09,189.14,185.83,188.63,187.7104,78005800
2024-01-19,189.33,191.95,188.82,191.56,190.6261,68741000
2024-01-22,192.3,195.33,192.26,193.89,192.9448,60133900
2024-01-23,195.02,195.75,193.83,195.18,194.2285,42355600
2024-01-24,195.42,196.38,194.34,194.5,193.5518,53631300
2024-01-25,195.22,196.27,193.11,194.17,193.2234,54822100
2024-01-26,194.27,194.76,191.94,192.42,191.4819,44594000
2024-01-29,192.01,192.2,189.58,191.73,190.7953,47145600
2024-01-30,190.94,191.8,187.47,188.04,187.1233,55859400
2024-01-31,187.04,187.1,184.35,184.4,183.501,55467800
2024-02-01,183.99,186.95,183.82,186.86,185.949,64885400
2024-02-02,179.86,187.33,179.25,185.85,184.944,102518000
2024-02-05,188.15,189.25,185.84,187.68,186.765,69668800
2024-02-06,186.86,189.31,186.77,189.3,188.3771,43490800
2024-02-07,190.64,191.05,188.61,189.41,188.4866,53439000
2024-02-08,189.39,189.54,187.35,188.32,187.4019,40962000
2024-02-09,188.65,189.99,188.0,188.85,188.1691,45155200
2024-02-12,188.42,188.67,186.79,187.15,186.4753,41781900
2024-02-13,185.77,186.21,183.51,185.04,184.3729,56529500
2024-02-14,185.32,185.53,182.44,184.15,183.4861,54630500
2024-02-15,183.55,184.49,181.35,183.86,183.1971,65434500
2024-02-16,183.42,184.85,181.67,182.31,181.6527,49701400
2024-02-20,181.79,182.43,180.0,181.56,180.9054,53665600
2024-02-21,181.94,182.89,180.66,182.32,181.6627,41529700
2024-02-22,183.48,184.96,182.46,184.37,183.7053,52292200
2024-02-23,185.01,185.04,182.23,182.52,181.862,45119700
2024-02-26,182.24,182.76,180.65,181.16,180.5069,40867400
2024-02-27,181.1,183.92,179.56,182.63,181.9716,54318900
2024-02-28,182.51,183.12,180.13,181.42,180.7659,48953900
2024-02-29,181.27,182.57,179.53,180.75,180.0983,136682600
2024-03-01,179.55,180.53,177.38,179.66,179.0123,73488000
2024-03-04,176.15,176.9,173.79,175.1,174.4687,81510100
2024-03-05,170.76,172.04,169.62,170.12,169.5067,95132400
2024-03-06,171.06,171.24,168.68,169.12,168.5103,68587700
2024-03-07,169.15,170.73,168.49,169.0,168.3907,71765100
2024-03-08,169.0,173.7,168.94,170.73,170.1145,76114600
2024-03-11,172.94,174.38,172.05,172.75,172.1272,60139500
2024-03-12,173.15,174.03,171.01,173.23,172.6055,59825400
2024-03-13,172.77,173.19,170.76,171.13,170.513,52488700
2024-03-14,172.91,174.31,172.05,173.0,172.3763,72913500
2024-03-15,171.17,172.62,170.29,172.62,171.9977,121664700
2024-03-18,175.57,177.71,173.52,173.72,173.0937,75604200
2024-03-19,174.34,176.61,173.03,176.08,175.4452,55215200
2024-03-20,175.72,178.67,175.09,178.67,178.0258,53423100
2024-03-21,177.05,177.49,170.84,171.37,170.7522,106181300
2024-03-22,171.76,173.05,170.06,172.28,171.6589,71106600
2024-03-25,170.57,171.94,169.45,170.85,170.234,54288300
2024-03-26,170.0,171.42,169.58,169.71,169.0981,57388400
2024-03-27,170.41,173.6,170.11,173.31,172.6852,60273300
2024-03-28,171.75,172.23,170.51,171.48,170.8618,65672700
2024-04-01,171.19,171.25,169.48,170.03,169.417,46240500
2024-04-02,169.08,169.34,168.23,168.84,168.2313,49329500
2024-04-03,168.79,170.68,168.58,169.65,169.0384,47691700
2024-04-04,170.29,171.92,168.82,168.82,168.2114,53704400
2024-04-05,169.59,170.39,168.95,169.58,168.9686,42055200
2024-04-08,169.03,169.2,168.24,168.45,167.8427,37425500
2024-04-09,168.7,170.08,168.35,169.67,169.0583,42451200
2024-04-10,168.8,169.09,167.11,167.78,167.1751,49709300
2024-04-11,168.34,175.46,168.16,175.04,174.4089,91070300
2024-04-12,174.26,178.36,174.21,176.55,175.9135,101593300
2024-04-15,175.36,176.63,172.5,172.69,172.0674,73531800
2024-04-16,171.75,173.76,168.27,169.38,168.7693,73711200
2024-04-17,169.61,170.65,168.0,168.0,167.3943,50901200
2024-04-18,168.03,168.64,166.55,167.04,166.4378,43122900
2024-04-19,166.21,166.4,164.08,165.0,164.4051,67772100
2024-04-22,165.52,167.26,164.77,165.84,165.2421,48116400
